url;rating;score_author;domain_ending;score_url_domain_ending;errors_grammar_spelling;score_errors;questions_text_per_sentence;score_tonality_questions_text;questions_title;score_tonality_questions_title;exclamations_text_per_sentence;score_tonality_exclamations_text;exclamations_title;score_tonality_exclamations_title;all_caps_text;score_tonality_all_caps_text;all_caps_title;score_tonality_all_caps_title;read_text_flesch_kincaid;read_text_flesch_read_ease;read_text_gunning_fog;read_text_smog;read_text_ari;read_text_coleman_liau;score_readability;word_count_text;score_ls_word_count_text;word_count_title;score_ls_word_count_title;sentence_count;score_ls_sentence_count;ttr;score_ls_type_token_ratio;word_length_text;score_ls_word_length_text;word_length_title;score_ls_word_length_title;profanity;score_vocabulary_profanity;total_emotion_word_ratio;anger_word_ratio;anger_intensity;anticipation_word_ratio;anticipation_intensity;disgust_word_ratio;disgust_intensity;fear_word_ratio;fear_intensity;sadness_word_ratio;sadness_intensity;joy_word_ratio;joy_intensity;surprise_word_ratio;surprise_intensity;trust_word_ratio;trust_intensity;score_vocabulary_emotional_words;clickbait;score_clickbait;links_count;score_links_external;sentiment_text_spacy;sentiment_text_vader;sentiment_text_fasttext_1;sentiment_text_fasttext_2;sentiment_text_fasttext_3;sentiment_text_fasttext_4;sentiment_text_fasttext_5;score_sentiment_polarity_text;sentiment_title_spacy;sentiment_title_vader;sentiment_title_fasttext_1;sentiment_title_fasttext_2;sentiment_title_fasttext_3;sentiment_title_fasttext_4;sentiment_title_fasttext_5;score_sentiment_polarity_title;subjectivity;score_sentiment_subjectivity
https://web.archive.org/web/20090619223600/http://www.cnn.com/2009/WORLD/meast/06/15/iran.elections.qa/;5.0000000000;0;0;0;0.0092081031;0.5395948435;0.1153846154;0.5641025641;1;0;0.0000000000;1.0000000000;0;1;0.0009267841;0.8146431881;0;1.0000000000;10.2956363636;58.9253006993;13.5160839161;11.9550157840;11.9390412587;11.2536581027;0.8972219641;1079;1.0000000000;7;1.0000000000;52;1.0000000000;0.4624652456;0.4061631140;4.9545875811;0.9394501081;4.1428571429;0.0000000000;0.0000000000;1.0000000000;0.1215469613;0.0294659300;0.0130377532;0.0359116022;0.0180948435;0.0064456722;0.0025119705;0.0239410681;0.0097541436;0.0193370166;0.0074613260;0.0285451197;0.0134134438;0.0110497238;0.0041445672;0.0580110497;0.0299797422;0.9803204420;1;1;0;0.0000000000;0.0358713851;0.9826000000;0.2062212974;0.6331954598;0.1483741850;0.0102604683;0.0019985298;0.6088600576;0.0000000000;-0.3612000000;0.0000319767;0.0046750465;0.9953229427;0.0000100798;0.0000100000;0.9999860078;0.4542351598;0.8192161339
https://web.archive.org/web/20111031175128/http://www.peakhomeloan.com/mortgage%20refinancing.asp;2.0000000000;0;0;0;0.0041511000;0.7924449979;0.0451127820;1.0000000000;0;1;0.0150375940;0.7769423559;0;1;0.0025010421;0.4997915798;0;1.0000000000;7.5177640316;73.7194065687;11.7703485369;10.8184282019;8.5756958521;8.6298364895;0.7044815874;2399;1.0000000000;10;1.0000000000;133;1.0000000000;0.2876198416;0.0000000000;4.5106294289;0.3475059052;6.4000000000;1.0000000000;0.0000000000;1.0000000000;0.1183063512;0.0083022001;0.0016691573;0.0220008302;0.0107272727;0.0016604400;0.0005811540;0.0249066002;0.0074271482;0.0161892902;0.0045848900;0.0423412204;0.0201432130;0.0066417601;0.0017480282;0.0502283105;0.0242963885;0.9857645496;1;1;0;0.0000000000;0.1234508901;0.9993000000;0.0211989749;0.7514037490;0.1946005821;0.0324100740;0.0004365725;0.6599214842;0.0000000000;0.4019000000;0.0000100000;0.0000100100;0.2320868373;0.7679330111;0.0000101623;0.9999932792;0.4644417020;0.7851943266
https://web.archive.org/web/20100602231114/http://www.energy.ca.gov/greenjobs/;5.0000000000;1;1;1;0.0039024390;0.8048780488;0.0307692308;1.0000000000;0;1;0.0153846154;0.7692307692;0;1;0.0039177277;0.2164544564;0;1.0000000000;16.2754468085;35.0423846154;19.0317631305;15.2662764709;19.6857580717;14.7383728221;0.9888829768;2042;1.0000000000;8;1.0000000000;65;1.0000000000;0.3863858962;0.2159647405;5.4402546523;1.0000000000;5.8750000000;1.0000000000;0.0000000000;1.0000000000;0.1214634146;0.0063414634;0.0022239024;0.0219512195;0.0095643902;0.0019512195;0.0006482927;0.0087804878;0.0023053659;0.0019512195;0.0005678049;0.0682926829;0.0197380488;0.0073170732;0.0026151220;0.0678048780;0.0315214634;0.9861631220;1;1;19;1.0000000000;0.1313852624;0.9998000000;0.0922253132;0.2735663950;0.1690383255;0.1912015676;0.2740184069;0.5447187600;0.0833333333;0.5859000000;0.1042270362;0.0079133296;0.0165215321;0.0012443746;0.8701437712;0.6179430642;0.4127916572;0.9573611428
https://web.archive.org/web/20110707055529/http://ouchmedicalcenter.com/floyd;2.0000000000;0;0;0;0.0074866310;0.6256684492;0.0000000000;1.0000000000;0;1;0.0576923077;0.0000000000;0;1;0.0010718114;0.7856377278;0;1.0000000000;10.0643842887;55.1714514944;13.2334149927;12.0192102673;11.6226923077;12.5207102134;0.9068532372;933;1.0000000000;2;1.0000000000;52;1.0000000000;0.4866023580;0.4665058950;5.1543408360;1.0000000000;5.5000000000;1.0000000000;0.0001705611;0.0000000000;0.1336898396;0.0245989305;0.0116406417;0.0417112299;0.0216213904;0.0096256684;0.0043122995;0.0299465241;0.0134064171;0.0181818182;0.0087475936;0.0310160428;0.0172855615;0.0053475936;0.0016470588;0.0609625668;0.0337679144;0.9775142246;1;1;0;0.0000000000;0.0947334128;0.9825000000;0.1316458881;0.5386841297;0.3090389669;0.0100495648;0.0106315166;0.6309075318;0.0000000000;0.0000000000;0.0000100000;0.0000100969;1.0000098944;0.0000100001;0.0000100000;0.9999933333;0.4039723032;0.9867589893
https://web.archive.org/web/20101011162816/http://www.medicalnewstoday.com/articles/163133.php;4.0000000000;0;0;0;0.0065146580;0.6742671010;0.0000000000;1.0000000000;0;1;0.0000000000;1.0000000000;0;1;0.0032840722;0.3431855501;0;1.0000000000;13.8628861463;49.8443388034;16.2717077083;12.6777340625;17.2933234886;12.5832167265;0.9496626373;1218;1.0000000000;10;1.0000000000;41;1.0000000000;0.5131362890;0.5328407225;5.1412151067;1.0000000000;5.5000000000;1.0000000000;0.0000000000;1.0000000000;0.0936482085;0.0122149837;0.0044951140;0.0252442997;0.0117671010;0.0154723127;0.0084723127;0.0285016287;0.0152027687;0.0179153094;0.0106286645;0.0162866450;0.0069714984;0.0008143322;0.0001205212;0.0529315961;0.0293363192;0.9826011401;1;1;2;0.6666666667;0.0946490219;0.9950000000;0.0190352052;0.7314078808;0.0920013562;0.1394716352;0.0181338582;0.6576103122;0.1363636364;0.0000000000;0.0003182764;0.7275590301;0.2676236928;0.0045386706;0.0000104121;0.9998904372;0.4657077100;0.7809743000
https://web.archive.org/web/20110920152953/http://discovermagazine.com/2010/jan-feb/088;4.0000000000;1;0;0;0.0089020772;0.5548961424;0.0000000000;1.0000000000;0;1;0.0000000000;1.0000000000;0;1;0.0030030030;0.3993993994;0;1.0000000000;11.4924314869;53.3955957240;14.2778620019;12.3808315196;14.1026044704;12.9902435364;0.9338454615;333;0.0660000000;4;1.0000000000;15;0.0000000000;0.6486486486;0.8716216216;5.3003003003;1.0000000000;6.2500000000;1.0000000000;0.0000000000;1.0000000000;0.0771513353;0.0118694362;0.0054005935;0.0296735905;0.0134688427;0.0118694362;0.0077002967;0.0237388724;0.0127804154;0.0089020772;0.0059198813;0.0148367953;0.0063145401;0.0000000000;0.0000000000;0.0267062315;0.0131928783;0.9870445104;0;0;3;1.0000000000;0.0592782218;0.8225000000;0.0090566278;0.9279067516;0.0556608997;0.0069253934;0.0005003002;0.7818143573;0.0000000000;0.0000000000;0.0000100000;0.0008163408;0.1607062221;0.8385074139;0.0000100153;0.9999933282;0.3904512155;1.0000000000
https://web.archive.org/web/20091103112312/http://www.lifesitenews.com/ldn/2009/oct/09103018.html;3.0000000000;0;0;0;0.0070921986;0.6453900709;0.0000000000;1.0000000000;0;1;0.0000000000;1.0000000000;0;1;0.0090252708;0.0000000000;0;1.0000000000;14.6922727273;35.0636363636;16.8246753247;14.2613579029;17.4041298701;15.6280126857;0.9736569379;554;0.5080000000;10;1.0000000000;22;0.0000000000;0.5685920578;0.6714801444;5.6209386282;1.0000000000;7.1000000000;1.0000000000;0.0000000000;1.0000000000;0.1418439716;0.0319148936;0.0174946809;0.0301418440;0.0143421986;0.0159574468;0.0101081560;0.0602836879;0.0367039007;0.0478723404;0.0364663121;0.0319148936;0.0148528369;0.0177304965;0.0090992908;0.0567375887;0.0310815603;0.9659702128;1;1;2;0.6666666667;0.0542673761;-0.6952000000;0.0366282985;0.4264074564;0.4074891210;0.1262277067;0.0032973024;0.8565581330;0.0000000000;-0.8555000000;0.0000106646;0.0000171918;0.9999591112;0.0000528774;0.0000100761;0.7629930864;0.4881944444;0.7060185185
https://web.archive.org/web/20100601103735/http://www.examiner.com/x-1155-Cycling-Examiner~y2010m5d29-Floyd-Landis-OUCH-part-company-embattled-cyclists-career-over-at-age-34;4.0000000000;1;0;0;0.0065146580;0.6742671010;0.0000000000;1.0000000000;1;0;0.0000000000;1.0000000000;0;1;0.0033898305;0.3220338983;0;1.0000000000;8.7931666667;65.4157500000;12.3000000000;11.2158383626;10.8042000000;11.1580845867;0.8360829802;295;0.0000000000;12;0.8000000000;16;0.0000000000;0.6067796610;0.7669491525;4.9593220339;0.9457627119;5.0833333333;0.5833333333;0.0000000000;1.0000000000;0.0977198697;0.0032573290;0.0001465798;0.0228013029;0.0109446254;0.0000000000;0.0000000000;0.0162866450;0.0032052117;0.0000000000;0.0000000000;0.0162866450;0.0047003257;0.0032573290;0.0005602606;0.0618892508;0.0392899023;0.9882306189;1;1;7;1.0000000000;0.0739090909;0.9892000000;0.0061819647;0.1004328504;0.8519513607;0.0394696854;0.0020141217;0.6711346379;0.0000000000;0.0000000000;0.0003317005;0.2489999980;0.1326921284;0.6135501862;0.0044760439;0.9983974186;0.2773636364;1.0000000000
https://web.archive.org/web/20110904104456/http://www.telegraph.co.uk/health/healthnews/6127514/Sentenced-to-death-on-the-NHS.html;4.0000000000;1;0;0;0.0056390977;0.7180451128;0.0000000000;1.0000000000;0;1;0.0000000000;1.0000000000;0;1;0.0000000000;1.0000000000;0;1.0000000000;11.1231818182;58.3043875193;14.6262968670;12.4868329805;13.1903004622;11.1268815132;0.9190889049;1058;1.0000000000;6;1.0000000000;44;1.0000000000;0.4357277883;0.3393194707;4.8109640832;0.7479521109;4.0000000000;0.0000000000;0.0000000000;1.0000000000;0.1419172932;0.0234962406;0.0121466165;0.0441729323;0.0206701128;0.0206766917;0.0121052632;0.0469924812;0.0249135338;0.0310150376;0.0223355263;0.0441729323;0.0148966165;0.0112781955;0.0051099624;0.0451127820;0.0236748120;0.9728295113;1;1;0;0.0000000000;0.0606590425;0.9956000000;0.0375973992;0.3629731834;0.1093434840;0.4818769097;0.0082590450;0.6543145186;0.0000000000;-0.6124000000;0.1348019987;0.1396203935;0.7256076336;0.0000100000;0.0000100000;0.8801293338;0.4704193319;0.7652688936
http://www.usnews.com/science/articles/2009/09/08/three-genes-linked-to-alzheimers-disease-risk.html;4.0000000000;1;0;0;0.0069832402;0.6508379888;0.0000000000;1.0000000000;0;1;0.0000000000;1.0000000000;0;1;0.0028208745;0.4358251058;0;1.0000000000;11.8449155313;53.7182270663;16.1081925522;13.7703296143;14.4303360581;12.4852899809;0.9538230251;709;0.8180000000;7;1.0000000000;30;0.5000000000;0.5176304654;0.5440761636;5.2341325811;1.0000000000;5.7142857143;1.0000000000;0.0000000000;1.0000000000;0.0879888268;0.0181564246;0.0062053073;0.0251396648;0.0130027933;0.0223463687;0.0144762570;0.0363128492;0.0215530726;0.0223463687;0.0139134078;0.0111731844;0.0049678771;0.0013966480;0.0003603352;0.0251396648;0.0124134078;0.9826215084;1;1;0;0.0000000000;0.0426141283;0.5128000000;0.0094829947;0.7645673752;0.2120592445;0.0135703292;0.0003700840;0.9881823071;0.0000000000;-0.2732000000;0.0056994963;0.0280726124;0.9662579298;0.0000100000;0.0000100000;0.9980968346;0.4186560409;0.9378131969
