url;fake_news
www.thehollywoodgossip.com/2018/01/jennifer-aniston-and-justin-theroux-headed-for-divorce-because-o/;1
https://web.archive.org/web/20180216001701/http://www.newidea.com.au/brad-and-ange-back-together;1
www.wonderwall.com/celebrity/blake-shelton-shopping-for-diamond-ring-for-gwen-stefani-proposing-on-valentines-day-is-made-up-3012461.article?photoId=1015358;1
www.dailymail.co.uk/tvshowbiz/article-4862458/Brad-Pitt-s-car-spotted-Angelina-Jolie-s-house.html;1
ew.com/tv/2017/07/13/billy-bush-not-hosting-fox-top-30/;1
hollywoodlife.com/2017/09/07/tom-cruise-katie-holmes-jamie-foxx-relationship-dating-betrayed/;1
radaronline.com/exclusives/2016/03/joe-giudice-prison-sex-teresa-rules-fort-dix/;1
https://web.archive.org/web/20180507002936/http://www.newidea.com.au/jennifer-aniston-pregnant-and-in-hiding;1
www.inquisitr.com/4535920/meghan-markle-has-easier-ride-with-prince-harrys-royal-family-than-her-own-regarding-future/;1
www.wmagazine.com/story/halle-berry-done-with-love-alex-da-kid;1
www.marieclaire.com/celebrity/a20194892/selena-gomez-secret-message-justin-bieber-back-to-you/;1
time.com/5047223/donald-trump-access-hollywood-tape-billy-bush/;1
ew.com/movies/2017/02/26/bill-paxton-dead-celebrities-react/;1
www.usatoday.com/story/life/music/2014/10/29/taylor-swift-calls-out-record-label-pop-album-1989/18140569/;1
people.com/home/jennifer-lopez-and-alex-rodriguez-flaunt-sweet-romance-and-matching-outfits-on-italy-vacation/;1
www.etonline.com/jennifer-lopez-serenades-alex-rodriguez-with-journeys-dont-stop-believin-107457;1
www.theguardian.com/science/brain-flapping/2015/nov/04/robin-williams-depression-and-dementia-the-clinical-picture;1
www.dailymail.co.uk/news/article-3373403/Lawyer-defends-bankrupt-Teresa-Giudice-s-90-000-Lexus-gift-photos-arriving-home-jail-reuniting-husband-children.html;1
https://web.archive.org/web/20180512134831/http://www.newidea.com.au/brad-pitt-jennifer-aniston-move-in-together-angelina-jolie-furious;1
radaronline.com/exclusives/2018/06/britney-spears-meltdown-kevin-federline-sam-asghari/;1
https://web.archive.org/web/20180101160111if_/http://hollywoodlife.com/2016/11/23/ben-affleck-jennifer-garner-renew-vows-secret-ceremony/;1
www.intouchweekly.com/posts/tyga-misses-kylie-jenner-158840;1
time.com/5050368/john-mayer-hospital-appendectomy/;1
www.eonline.com/news/704344/selena-gomez-i-ve-never-had-a-problem-with-drinking;1
hollywoodlife.com/2018/05/03/caitlyn-jenner-getting-married-sophia-hutchins-secret-wedding-engagement/;1
radaronline.com/videos/bradley-cooper-model-girlfriend-irina-shayk-welcomed-first-child/;1
www.inquisitr.com/3763416/blac-chyna-shows-post-pregnancy-figure-in-nude-jumpsuit-as-she-takes-king-cairo-to-see-santa/;1
www.dailymail.co.uk/tvshowbiz/article-5698465/Madonna-snacks-getting-glammed-ahead-Met-Gala.html;1
www.usmagazine.com/celebrity-moms/news/george-clooney-shows-off-pics-of-his-twins-jokes-theyre-like-models/;1
www.wonderwall.com/news/pregnant-miranda-kerr-has-reportedly-already-spent-250k-nursery-3010942.article;1
people.com/movies/katie-holmes-jamie-foxx-nyc-date-night-tao/;1
https://web.archive.org/web/20180224230251if_/http://hollywoodlife.com/2018/02/23/joe-jonas-women-bikinis-beach-australia-sophie-turner-photo/;1
hellogiggles.com/celebrity/miley-cyruss-mom-doesnt-get-everyone-wants-daughter-marry-liam-hemsworth/;1
www.businessinsider.com/prince-harry-and-meghan-markle-visit-to-the-united-states-2018-4;1
www.gobankingrates.com/net-worth/celebrities/no-escape-movie-boost-pierce-brosnans-net-worth-owen-wilsons-net-worth/;1
www.instyle.com/news/kim-kardashian-anorexic-comments-backlash;1
radaronline.com/exclusives/2017/08/jennifer-aniston-furious-friends-parody/;1
www.iheart.com/content/2017-01-26-are-selena-gomez-the-weeknd-working-on-a-movie-together/;1
hollywoodlife.com/2017/12/20/kim-kardashian-kanye-west-getting-divorced-report/;1
www.iheart.com/content/2017-08-19-carrie-underwood-forced-mike-fisher-to-retire-for-second-baby/;1
www.express.co.uk/news/royal/1001017/Meghan-Markle-Prince-Harry-friends-loyalty-Princess-Diana-Thomas;1
www.usmagazine.com/celebrity-news/news/travis-scott-pleads-guilty-to-disorderly-conduct/;1
www.hollywoodreporter.com/features/steven-spielberg-meryl-streep-trump-news-why-post-had-be-made-i-know-is-scared-1064361;1
www.hollywoodreporter.com/news/jennifer-garners-trainer-launches-wellness-app-called-bbs-1101013;1
www.dailymail.co.uk/tvshowbiz/article-3710458/Jennifer-Garner-44-tries-hard-act-unperturbed-asked-s-pregnant-estranged-husband-Ben-Affleck.html;1
www.gaystarnews.com/article/kristen-stewart-cannes-red-carpet-barefoot/;1
www.revelist.com/celebrity/kardashian-rumors-turned-out-true/10306;1
https://web.archive.org/web/20180820232652/www.yahoo.com/entertainment/taylor-swift-calls-kim-kardashian-bully-fans-call-bs-180443353.html;1
www.vanityfair.com/style/2018/07/dina-lohan-drops-more-details-on-lindsays-upcoming-reality-show;1
